#{"t_start": 1775963853.2924392, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,137.677741
-50.0,50,138.218281
-50.0,50,138.754516
-50.0,50,139.287568
-50.0,50,139.816121
-50.0,50,140.362206
-50.0,50,140.892485
-50.0,50,141.418227
-50.0,50,141.947387
-50.0,50,142.487046
-50.0,50,143.021589
-43.0,50,143.585151
-47.0,50,144.12256
-50.0,50,144.643257
-45.0,50,145.156059
-50.0,50,145.666929
-50.0,50,146.188354
-50.0,50,146.711663
-50.0,50,147.248717
-50.0,50,147.794895
-50.0,50,148.334384
-50.0,50,148.881976
-50.0,50,149.413085
-50.0,50,149.957327
-50.0,50,150.493242
-50.0,50,151.032374
-50.0,50,151.570083
-48.0,50,152.099844
-36.0,50,152.635266
-50.0,50,153.183048
-44.0,50,153.721146
-50.0,50,154.261923
-50.0,50,154.797314
-50.0,50,155.338594
-50.0,50,155.872645
-50.0,50,156.417907
-50.0,50,156.957539
-45.0,50,157.49245
-50.0,50,158.035151
-50.0,50,158.588983
-50.0,50,159.122087
-50.0,50,159.664318
-43.0,50,160.207187
-50.0,50,160.745992
-50.0,50,161.295246
-50.0,50,161.835444
-50.0,50,162.377893
-50.0,50,162.920112
-50.0,50,163.464212
-50.0,50,164.012247
-50.0,50,164.557128
-50.0,50,165.126518
-50.0,50,165.675015
-40.0,50,166.22213
-50.0,50,166.76742
-44.0,50,167.30109
-50.0,50,167.839709
-50.0,50,168.377794
-50.0,50,168.922107
-50.0,50,169.462493
-50.0,50,170.008087
-50.0,50,170.554807
-50.0,50,171.084622
-50.0,50,171.6151
-49.0,50,172.150929
-50.0,50,172.66178
-50.0,50,173.182067
-50.0,50,173.70944
-49.0,50,174.231871
-46.0,50,174.76167
-50.0,50,175.284413
-50.0,50,175.802672
-50.0,50,176.314798
-50.0,50,176.836628
-39.0,50,177.351756
-48.0,50,177.869222
-50.0,50,178.384879
-49.0,50,178.905195
-50.0,50,179.418242
-50.0,50,179.931431
-50.0,50,180.446987
-50.0,50,180.967822
-50.0,50,181.484215
-50.0,50,182.000238
-50.0,50,182.514501
-47.0,50,183.041251
-44.0,50,183.565602
-38.0,50,184.088212
-20.0,50,184.608351
-50.0,50,185.138932
-50.0,50,185.657174
-50.0,50,186.176973
-50.0,50,186.700222
-50.0,50,187.214221
-36.0,50,187.723759
-50.0,50,188.236492
-45.0,50,188.748186
-50.0,50,189.26798
-49.0,50,189.777028
-50.0,50,190.286049
-50.0,50,190.796099
-50.0,50,191.311307
-50.0,50,191.825517
-50.0,50,192.344856
-50.0,50,192.86526
-50.0,50,193.395661
-50.0,50,193.917228
-50.0,50,194.435697
-50.0,50,194.957574
-50.0,50,195.481365
-50.0,50,196.006196
-50.0,50,196.527094
-47.0,50,197.045881
-23.0,50,197.570799
-50.0,50,198.091753
-50.0,50,198.606389
-50.0,50,199.120154
-50.0,50,199.642001
-50.0,50,200.162913
-50.0,50,200.686706
-26.0,50,201.212616
-50.0,50,201.739955
-50.0,50,202.263906
-50.0,50,202.791507
-46.0,50,203.313742
-50.0,50,203.855758
-50.0,50,204.380833
-50.0,50,204.906186
-40.0,50,205.446597
-48.0,50,205.994355
-50.0,50,206.536856
-45.0,50,207.077335
-50.0,50,207.634915
-50.0,50,208.169023
-50.0,50,208.707534
-50.0,50,209.23723
-50.0,50,209.765826
-50.0,50,210.8545
-50.0,50,211.388528
-50.0,50,211.921032
-49.0,50,212.454427
-50.0,50,212.989963
-50.0,50,213.524033
-46.0,50,214.059267
-50.0,50,214.593373
-5.0,50,215.129053
-50.0,50,215.676379
-50.0,50,216.211416
-35.0,50,216.743901
-50.0,50,217.290315
-50.0,50,217.823712
-50.0,50,218.368643
-45.0,50,218.897796
-50.0,50,219.44456
-48.0,50,219.983403
-50.0,50,220.539596
-50.0,50,221.081503
-50.0,50,221.641726
-49.0,50,222.181543
-50.0,50,222.707911
-50.0,50,223.244476
-50.0,50,223.783723
-50.0,50,224.315515
-9.0,50,224.844987
-50.0,50,225.379767
-48.0,50,225.912338
-50.0,50,226.453149
-50.0,50,226.991453
-48.0,50,227.526289
-50.0,50,228.077809
-50.0,50,228.617788
-50.0,50,229.171914
-50.0,50,229.69926
-49.0,50,230.232982
-50.0,50,230.765294
-42.0,50,231.298105
-50.0,50,231.824609
-50.0,50,232.356915
-50.0,50,232.884048
-49.0,50,233.405429
-48.0,50,233.928456
-50.0,50,234.455733
-50.0,50,234.974948
-25.0,50,235.498427
-50.0,50,236.016857
-50.0,50,236.53084
-50.0,50,237.046628
-29.0,50,237.56003
-49.0,50,238.076209
-50.0,50,238.602787
-50.0,50,239.123394
-50.0,50,239.643186
-50.0,50,240.166147
-50.0,50,240.723479
-50.0,50,241.285023
-50.0,50,241.813693
-50.0,50,242.33528
-34.0,50,242.86164
-50.0,50,243.379613
-50.0,50,243.896123
-43.0,50,244.403582
-50.0,50,244.920739
-50.0,50,245.435642
-40.0,50,245.948657
-50.0,50,246.460217
-50.0,50,246.9686
-45.0,50,247.476841
-48.0,50,247.986207
-42.0,50,248.498667
-48.0,50,249.018204
-50.0,50,249.532259
-44.0,50,250.039034
-50.0,50,250.549302
-50.0,50,251.068943
-50.0,50,251.582809
-49.0,50,252.085979
-50.0,50,252.595922
-50.0,50,253.109181
-50.0,50,253.617051
-50.0,50,254.129901
-50.0,50,254.636684
-50.0,50,255.149348
-7.0,50,255.690246
-50.0,50,256.223403
-30.0,50,256.771673
-50.0,50,257.312998
-50.0,50,257.844738
-50.0,50,258.371275
-50.0,50,258.914441
-50.0,50,259.463467
-50.0,50,259.990569
-50.0,50,260.518225
-7.0,50,261.048868
-50.0,50,261.58516
-50.0,50,262.116109
-50.0,50,262.644264
-8.0,50,263.16968
-49.0,50,263.691356
-50.0,50,264.21367
-50.0,50,264.729547
-50.0,50,265.244737
-48.0,50,265.762285
-50.0,50,266.282585
-50.0,50,266.806856
-50.0,50,267.332878
-50.0,50,267.860338
-50.0,50,268.377786
-50.0,50,268.892992
-50.0,50,269.397793
-50.0,50,269.91834
-50.0,50,270.437154
-50.0,50,270.952018
-48.0,50,271.465117
-50.0,50,271.977178
-48.0,50,272.501477
-50.0,50,273.019683
-29.0,50,273.534311
-50.0,50,274.05088
-47.0,50,274.565609
-49.0,50,275.080015
-50.0,50,275.596684
-23.0,50,276.120479
-46.0,50,276.63888
-50.0,50,277.147367
-43.0,50,277.662718
-50.0,50,278.176179
-42.0,50,278.690133
-49.0,50,279.195315
-48.0,50,279.713876
-50.0,50,280.238174
-50.0,50,280.762041
-50.0,50,281.28297
-50.0,50,281.786798
-50.0,50,282.302987
-45.0,50,282.819085
-50.0,50,283.341916
-47.0,50,283.862772
-43.0,50,284.380239
-37.0,50,284.893658
-46.0,50,285.403026
-50.0,50,285.912368
-50.0,50,286.425173
-47.0,50,286.935596
-50.0,50,287.442822
-23.0,50,287.966007
-50.0,50,288.496675
-49.0,50,289.013074
-50.0,50,289.530669
-50.0,50,290.050947
-48.0,50,290.575289
-38.0,50,291.08304
-50.0,50,291.602379
-50.0,50,292.12728
-35.0,50,292.657037
-50.0,50,293.179554
-50.0,50,293.696912
-4.0,50,294.217739
-50.0,50,294.741249
-50.0,50,295.253687
-50.0,50,295.761391
-47.0,50,296.283424
-47.0,50,296.803133
-50.0,50,297.319453
-50.0,50,297.833728
-14.0,50,298.371506
-50.0,50,298.906809
-35.0,50,299.445145
-48.0,50,299.976722
-50.0,50,300.521168
-49.0,50,301.061981
-47.0,50,301.592691
-50.0,50,302.119359
-44.0,50,302.652415
-39.0,50,303.183931
-50.0,50,303.71754
-7.0,50,304.250461
-50.0,50,304.774334
-49.0,50,305.318112
-50.0,50,305.856039
-48.0,50,306.421285
-38.0,50,306.947843
-50.0,50,307.477469
-50.0,50,308.015861
-47.0,50,308.532835
-50.0,50,309.049617
-45.0,50,309.565575
-50.0,50,310.078894
-50.0,50,310.596503
-50.0,50,311.109685
-29.0,50,311.618713
-47.0,50,312.130847
-48.0,50,312.662657
-43.0,50,313.186987
-41.0,50,313.701049
-49.0,50,314.205933
-50.0,50,314.714951
-45.0,50,315.221826
-50.0,50,316.323578
-48.0,50,316.874839
-50.0,50,317.414304
-48.0,50,317.947778
-50.0,50,318.494806
-46.0,50,319.018399
-15.0,50,319.548974
-40.0,50,320.088712
-45.0,50,320.634454
-50.0,50,321.171727
-29.0,50,321.713216
-47.0,50,322.244728
-50.0,50,322.78242
-29.0,50,323.352056
-50.0,50,323.882248
-23.0,50,324.419192
-50.0,50,324.965688
-50.0,50,325.494675
-45.0,50,326.022141
-13.0,50,326.578055
-46.0,50,327.129017
-36.0,50,327.653332
-23.0,50,328.179797
-50.0,50,328.721347
-50.0,50,329.263867
-50.0,50,329.789265
-47.0,50,330.315926
-33.0,50,330.845065
-34.0,50,331.382119
-49.0,50,331.909238
-50.0,50,332.437977
-46.0,50,332.964447
-6.0,50,333.508441
-38.0,50,334.015019
-23.0,50,334.531693
-50.0,50,335.04767
-19.0,50,335.560738
-26.0,50,336.069575
-39.0,50,336.581802
-49.0,50,337.089646
-50.0,50,337.603412
-30.0,50,338.110762
-47.0,50,338.633623
-50.0,50,339.163513
-13.0,50,339.705095
-50.0,50,340.246509
-33.0,50,340.769669
-11.0,50,341.29086
-17.0,50,341.819947
-5.0,50,342.351529
-14.0,50,342.881003
-8.0,50,343.409738
-45.0,50,343.934306
-16.0,50,344.460731
-50.0,50,344.985023
-50.0,50,345.511377
-33.0,50,346.039783
-4.0,50,346.562978
-30.0,50,347.080874
-4.0,50,347.61146
-41.0,50,348.139445
-46.0,50,348.685616
-20.0,50,349.19516
-50.0,50,349.710967
-16.0,50,350.224515
-12.0,50,350.738795
-49.0,50,351.264405
-21.0,50,351.780558
-6.0,50,352.305256
-42.0,50,352.809206
-46.0,50,353.315839
-19.0,50,353.819394
-23.0,50,354.330158
-32.0,50,354.8338
-44.0,50,355.336797
-50.0,50,355.841192
-33.0,50,356.357928
-21.0,50,356.862025
-33.0,50,357.373912
-16.0,50,357.887794
-50.0,50,358.415983
-41.0,50,358.933207
-4.0,50,359.448273
-41.0,50,359.95108
-39.0,50,360.471128
-43.0,50,360.980758
-3.0,50,361.498047
-11.0,50,362.011948
-43.0,50,362.530535
-43.0,50,363.044011
-22.0,50,363.550719
-8.0,50,364.051995
-34.0,50,364.561616
-22.0,50,365.073968
-6.0,50,365.581488
-35.0,50,366.093576
-1.0,50,366.610254
-50.0,50,367.116941
-50.0,50,367.629337
-2.0,50,368.157652
-36.0,50,368.672294
-34.0,50,369.190999
-50.0,50,369.71864
-40.0,50,370.224002
-13.0,50,370.76516
-50.0,50,371.288939
-4.0,50,371.816111
-35.0,50,372.350469
-50.0,50,372.889639
-28.0,50,373.426518
-44.0,50,373.959995
-17.0,50,374.486395
-4.0,50,375.017622
-45.0,50,375.556846
-4.0,50,376.0952
-22.0,50,376.630787
-5.0,50,377.161287
-50.0,50,377.704111
-17.0,50,378.235791
-50.0,50,378.768717
-20.0,50,379.301919
-22.0,50,379.82685
-9.0,50,380.358976
-26.0,50,380.883585
-50.0,50,381.410738
-37.0,50,381.935545
-24.0,50,382.46034
-30.0,50,382.985231
-22.0,50,383.51398
-50.0,50,384.037198
-1.0,50,384.562247
-50.0,50,385.085365
-41.0,50,385.607729
-3.0,50,386.129712
-40.0,50,386.646276
-17.0,50,387.153179
-43.0,50,387.667213
-50.0,50,388.192615
-42.0,50,388.706081
-49.0,50,389.217059
-16.0,50,389.744042
-50.0,50,390.267131
-30.0,50,390.775837
-48.0,50,391.30804
