#{"t_start": 1775970332.082854, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,32.406086
-39.0,50,32.51956
-50.0,50,32.635378
-49.0,50,32.745148
-50.0,50,32.859934
-50.0,50,32.972257
-50.0,50,33.084232
-50.0,50,33.202499
-50.0,50,33.31731
-50.0,50,33.431353
-50.0,50,33.543558
-50.0,50,33.659377
-50.0,50,33.770499
-50.0,50,33.887474
-50.0,50,33.999019
-50.0,50,34.111365
-50.0,50,34.226176
-50.0,50,34.335088
-50.0,50,34.44731
-50.0,50,34.563375
-50.0,50,34.677856
-50.0,50,34.787906
-50.0,50,34.900847
-50.0,50,35.335868
-50.0,50,35.452716
-49.0,50,35.566455
-49.0,50,35.683208
-49.0,50,35.796576
-50.0,50,35.913092
-50.0,50,36.02462
-50.0,50,36.140589
-50.0,50,36.254165
-50.0,50,36.370234
-50.0,50,36.485303
-50.0,50,36.599335
-50.0,50,36.721432
-50.0,50,36.838099
-45.0,50,36.952217
-50.0,50,37.066732
-50.0,50,37.180921
-50.0,50,37.299158
-50.0,50,37.41206
-50.0,50,37.531431
-50.0,50,37.646785
-45.0,50,37.759121
-47.0,50,37.872392
-50.0,50,37.985535
-39.0,50,38.101344
-50.0,50,38.214299
-50.0,50,38.335059
-50.0,50,38.444923
-50.0,50,38.558841
-50.0,50,38.669123
-48.0,50,38.783646
-50.0,50,38.895478
-50.0,50,39.01113
-50.0,50,39.123967
-50.0,50,39.237369
-50.0,50,39.352495
-50.0,50,39.467862
-50.0,50,39.583525
-50.0,50,39.710055
-50.0,50,39.828813
-50.0,50,39.9446
-50.0,50,40.372559
-50.0,50,40.485415
-50.0,50,40.599556
-50.0,50,40.711788
-44.0,50,40.827674
-44.0,50,40.945788
-50.0,50,41.063524
-50.0,50,41.183363
-48.0,50,41.302329
-50.0,50,41.411766
-48.0,50,41.523743
-50.0,50,41.637441
-49.0,50,41.749754
-50.0,50,41.864409
-49.0,50,41.977816
-50.0,50,42.093864
-50.0,50,42.206912
-50.0,50,42.321136
-50.0,50,42.43251
-50.0,50,42.54859
-46.0,50,42.659943
-45.0,50,42.773297
-50.0,50,42.888174
-50.0,50,43.001387
-50.0,50,43.120165
-50.0,50,43.239408
