#{"t_start": 1775966359.4315364, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,39.685406
-50.0,50,39.798159
-50.0,50,39.913332
-50.0,50,40.032596
-50.0,50,40.142779
-50.0,50,40.25421
-45.0,50,40.363201
-50.0,50,40.472386
-50.0,50,40.581888
-50.0,50,40.692943
-50.0,50,40.802771
-50.0,50,40.916977
-50.0,50,41.031477
-50.0,50,41.142527
-50.0,50,41.256098
-50.0,50,41.365792
-50.0,50,41.476461
-50.0,50,41.586114
-46.0,50,41.695874
-50.0,50,41.80541
-50.0,50,41.917201
-50.0,50,42.027766
-50.0,50,42.137861
-50.0,50,43.566822
-50.0,50,43.685479
-50.0,50,43.797814
-50.0,50,43.911284
-50.0,50,44.023017
-50.0,50,44.134828
-50.0,50,44.244792
-50.0,50,44.353879
-50.0,50,44.47
-50.0,50,44.578951
-50.0,50,44.689686
-50.0,50,44.802171
-50.0,50,44.912379
-50.0,50,45.02118
-47.0,50,45.133831
-50.0,50,45.248252
-50.0,50,45.363214
-50.0,50,45.479775
-50.0,50,45.593632
-50.0,50,45.707133
-48.0,50,45.820073
-50.0,50,45.9331
-50.0,50,46.041775
-50.0,50,46.15123
-49.0,50,46.265343
-50.0,50,46.376398
-50.0,50,46.489796
-50.0,50,46.599019
-50.0,50,46.70865
-50.0,50,46.821609
-50.0,50,46.930166
-50.0,50,47.046723
-50.0,50,47.157513
-50.0,50,47.268859
-50.0,50,47.378576
-50.0,50,47.492126
-50.0,50,47.600258
-50.0,50,47.710603
-50.0,50,47.829758
-48.0,50,47.940679
-50.0,50,48.058829
-44.0,50,49.392711
-50.0,50,49.502561
-50.0,50,49.612855
-50.0,50,49.723716
-50.0,50,49.832583
-49.0,50,49.945768
-50.0,50,50.054754
-50.0,50,50.162784
-50.0,50,50.271524
-50.0,50,50.388963
-50.0,50,50.497644
-50.0,50,50.606373
-50.0,50,50.715059
-50.0,50,50.823896
-50.0,50,50.934565
-50.0,50,51.043736
-50.0,50,51.153151
-50.0,50,51.265368
