#{"t_start": 1775971075.9140542, "env_id": "FetchReach-v4"}
r,l,t
-48.0,50,136.068113
-50.0,50,136.577663
-50.0,50,137.084953
-50.0,50,137.592981
-50.0,50,138.108371
-50.0,50,138.619551
-48.0,50,139.13423
-50.0,50,139.661884
-50.0,50,140.193506
-50.0,50,140.717445
-50.0,50,141.239622
-50.0,50,141.768193
-50.0,50,142.289734
-50.0,50,142.814291
-50.0,50,143.335781
-50.0,50,143.859013
-50.0,50,144.399415
-50.0,50,144.946157
-50.0,50,145.528602
-50.0,50,146.080132
-50.0,50,146.619617
-50.0,50,147.164911
-50.0,50,147.706655
-50.0,50,148.240246
-50.0,50,148.768703
-50.0,50,149.312915
-50.0,50,149.84246
-50.0,50,150.38727
-50.0,50,150.914256
-50.0,50,151.429096
-50.0,50,151.933398
-50.0,50,152.447403
-50.0,50,152.96
-50.0,50,153.475487
-49.0,50,153.993032
-50.0,50,154.505568
-50.0,50,155.018528
-50.0,50,155.537109
-50.0,50,156.055439
-50.0,50,156.56489
-50.0,50,157.100307
-50.0,50,157.619249
-50.0,50,158.133099
-50.0,50,158.636884
-50.0,50,159.155405
-50.0,50,159.666284
-50.0,50,160.18807
-50.0,50,160.700202
-50.0,50,161.213898
-50.0,50,161.738458
-50.0,50,162.275235
-50.0,50,162.791276
-50.0,50,163.309155
-50.0,50,163.840028
-50.0,50,164.365126
-50.0,50,164.894104
-50.0,50,165.416128
-50.0,50,165.94526
-50.0,50,166.465997
-50.0,50,166.978941
-50.0,50,167.500906
-50.0,50,168.017451
-50.0,50,168.534882
-50.0,50,169.067291
-50.0,50,169.584248
-50.0,50,170.106026
-50.0,50,170.622802
-50.0,50,171.142603
-50.0,50,171.66574
-50.0,50,172.192071
-50.0,50,172.720365
-50.0,50,173.241086
-50.0,50,173.769565
-50.0,50,174.302234
-50.0,50,174.842676
-50.0,50,175.361521
-50.0,50,175.905478
-50.0,50,176.435027
-50.0,50,176.966788
-50.0,50,177.4968
-50.0,50,178.014835
-50.0,50,178.538554
-50.0,50,179.073637
-49.0,50,179.601654
-50.0,50,180.145548
-50.0,50,180.726663
-50.0,50,181.280621
-50.0,50,181.80452
-50.0,50,182.318134
-50.0,50,182.851917
-8.0,50,183.377131
-50.0,50,183.940298
-50.0,50,184.470739
-46.0,50,185.002325
-50.0,50,185.549756
-50.0,50,186.088356
-50.0,50,186.619826
-50.0,50,187.160104
-50.0,50,187.691559
-15.0,50,188.224663
-50.0,50,188.75499
-50.0,50,189.289756
-50.0,50,189.819482
-50.0,50,190.361116
-50.0,50,190.891642
-25.0,50,191.438098
-50.0,50,191.959654
-50.0,50,192.481737
-50.0,50,192.997544
-50.0,50,193.516592
-50.0,50,194.058306
-50.0,50,194.581458
-50.0,50,195.104581
-50.0,50,195.638989
-50.0,50,196.165342
-50.0,50,196.686865
-49.0,50,197.19907
-50.0,50,197.714686
-50.0,50,198.225153
-26.0,50,198.7303
-50.0,50,199.230014
-50.0,50,199.741348
-50.0,50,200.252783
-50.0,50,200.759141
-50.0,50,201.270533
-43.0,50,201.78735
-35.0,50,202.293406
-50.0,50,202.799445
-50.0,50,203.298102
-50.0,50,203.802649
-50.0,50,204.302584
-10.0,50,204.801621
-50.0,50,205.309802
-34.0,50,205.819721
-50.0,50,206.323251
-47.0,50,206.831991
-50.0,50,207.334845
-35.0,50,208.338053
-50.0,50,208.846613
-50.0,50,209.359348
-50.0,50,209.874858
-50.0,50,210.392513
-50.0,50,210.911795
-50.0,50,211.432973
-50.0,50,211.965756
-50.0,50,212.489222
-50.0,50,213.011034
-50.0,50,213.528343
-26.0,50,214.045109
-50.0,50,214.563127
-30.0,50,215.089313
-50.0,50,215.608121
-44.0,50,216.135089
-50.0,50,216.666028
-50.0,50,217.189647
-50.0,50,217.769375
-50.0,50,218.28841
-50.0,50,218.793546
-50.0,50,219.293788
-45.0,50,219.797075
-25.0,50,220.305439
-50.0,50,220.826704
-50.0,50,221.334393
-47.0,50,221.844905
-50.0,50,222.350432
-50.0,50,222.854959
-50.0,50,223.361231
-50.0,50,223.86424
-50.0,50,224.364321
-50.0,50,224.866838
-29.0,50,225.367477
-50.0,50,225.869517
-50.0,50,226.375122
-50.0,50,226.889683
-50.0,50,227.42987
-50.0,50,227.964946
-50.0,50,228.489623
-50.0,50,229.01071
-50.0,50,229.556136
-50.0,50,230.077826
-50.0,50,230.59814
-50.0,50,231.130318
-50.0,50,231.66311
-50.0,50,232.194554
-50.0,50,232.715377
-50.0,50,233.239454
-50.0,50,233.76394
-50.0,50,234.285949
-50.0,50,234.803527
-50.0,50,235.326198
-50.0,50,235.848187
-50.0,50,236.374956
-50.0,50,236.89979
-50.0,50,237.40956
-50.0,50,237.920748
-49.0,50,238.430291
-43.0,50,238.92794
-50.0,50,239.437595
-50.0,50,239.94543
-50.0,50,240.462721
-50.0,50,240.963883
-50.0,50,241.485442
-50.0,50,242.019247
-47.0,50,242.552803
-50.0,50,243.087932
-29.0,50,243.630653
-50.0,50,244.178958
-50.0,50,244.70971
-50.0,50,245.245733
-50.0,50,245.79171
-50.0,50,246.330694
-50.0,50,246.871399
-50.0,50,247.415813
-44.0,50,247.94823
-50.0,50,248.482595
-50.0,50,249.012319
-50.0,50,249.544516
-50.0,50,250.078333
-50.0,50,250.616199
-50.0,50,251.150131
-50.0,50,251.674293
-50.0,50,252.202879
-50.0,50,252.734206
-50.0,50,253.266117
-50.0,50,253.797337
-50.0,50,254.338332
-50.0,50,254.872907
-50.0,50,255.404846
-50.0,50,255.963648
-50.0,50,256.516671
-50.0,50,257.080954
-50.0,50,257.622559
-50.0,50,258.166812
-50.0,50,258.696449
-50.0,50,259.237215
-48.0,50,259.773736
-50.0,50,260.335552
-50.0,50,260.882639
-50.0,50,261.426049
-50.0,50,261.961993
-49.0,50,262.506966
-50.0,50,263.054697
-50.0,50,263.591717
-50.0,50,264.127511
-50.0,50,264.658278
-50.0,50,265.180224
-50.0,50,265.713146
-50.0,50,266.272803
-48.0,50,266.808734
-50.0,50,267.333859
-50.0,50,267.866508
-43.0,50,268.401226
-50.0,50,268.935519
-46.0,50,269.458745
-50.0,50,269.973669
-49.0,50,270.493194
-49.0,50,271.018801
-50.0,50,271.546074
-50.0,50,272.06887
-50.0,50,272.589008
-50.0,50,273.101027
-50.0,50,273.620419
-50.0,50,274.130741
-50.0,50,274.641804
-50.0,50,275.153646
-50.0,50,275.66935
-50.0,50,276.180188
-50.0,50,276.69513
-50.0,50,277.208217
-50.0,50,277.716602
-50.0,50,278.233327
-50.0,50,278.756514
-50.0,50,279.276756
-50.0,50,279.795764
-50.0,50,280.313718
-50.0,50,280.83717
-50.0,50,281.348111
-50.0,50,281.862556
-50.0,50,282.370461
-50.0,50,282.879102
-50.0,50,283.3989
-50.0,50,283.918549
-50.0,50,284.435777
-50.0,50,284.953449
-50.0,50,285.477899
-50.0,50,285.996688
-50.0,50,286.520715
-50.0,50,287.04065
-50.0,50,287.558693
-50.0,50,288.079772
-50.0,50,288.591075
-50.0,50,289.10364
-50.0,50,289.612457
-50.0,50,290.122346
-50.0,50,290.6328
-50.0,50,291.14164
-50.0,50,291.655028
-50.0,50,292.16768
-50.0,50,292.677865
-50.0,50,293.197036
-50.0,50,293.71824
-50.0,50,294.239819
-50.0,50,294.759122
-50.0,50,295.279909
-50.0,50,295.802036
-50.0,50,296.329734
-50.0,50,296.849646
-50.0,50,297.366285
-50.0,50,297.879059
-50.0,50,298.406312
-50.0,50,298.926313
-49.0,50,299.439583
-50.0,50,299.94917
-50.0,50,300.468401
-50.0,50,300.992395
-50.0,50,301.514528
-50.0,50,302.0452
-50.0,50,302.57444
-50.0,50,303.103328
-50.0,50,303.630933
-50.0,50,304.159092
-50.0,50,304.678662
-50.0,50,305.194834
-50.0,50,305.737112
-50.0,50,306.281158
-50.0,50,306.827524
-50.0,50,307.364749
-50.0,50,307.90936
-50.0,50,308.446232
-50.0,50,308.981414
-50.0,50,309.537275
-50.0,50,310.080662
-50.0,50,310.626698
-48.0,50,311.179748
-50.0,50,311.714488
-50.0,50,312.251013
-50.0,50,312.790507
-50.0,50,313.908064
-50.0,50,314.434256
-50.0,50,314.95909
-50.0,50,315.488334
-50.0,50,316.016431
-50.0,50,316.557855
-50.0,50,317.08958
-50.0,50,317.612927
-50.0,50,318.144692
-50.0,50,318.68036
-50.0,50,319.205269
-50.0,50,319.731974
-50.0,50,320.25811
-50.0,50,320.780834
-50.0,50,321.317845
-50.0,50,321.853021
-50.0,50,322.393076
-50.0,50,322.928039
-50.0,50,323.465553
-50.0,50,323.987846
-50.0,50,324.530211
-50.0,50,325.068017
-50.0,50,325.604942
-50.0,50,326.140454
-50.0,50,326.665851
-47.0,50,327.19144
-50.0,50,327.722262
-50.0,50,328.254718
-50.0,50,328.777801
-50.0,50,329.318077
-50.0,50,329.855967
-50.0,50,330.394679
-50.0,50,330.930676
-50.0,50,331.455281
-50.0,50,331.978973
-50.0,50,332.518958
-50.0,50,333.050167
-50.0,50,333.585306
-50.0,50,334.117837
-50.0,50,334.645312
-50.0,50,335.178527
-50.0,50,335.706821
-50.0,50,336.234329
-50.0,50,336.754953
-50.0,50,337.271517
-50.0,50,337.806889
-50.0,50,338.332376
-50.0,50,338.864237
-50.0,50,339.399135
-50.0,50,339.914341
-50.0,50,340.440023
-50.0,50,340.958319
-50.0,50,341.487847
-50.0,50,342.020118
-50.0,50,342.548807
-50.0,50,343.070212
-50.0,50,343.61466
-50.0,50,344.174538
-48.0,50,344.753155
-49.0,50,345.310706
-48.0,50,345.854777
-50.0,50,346.370931
-46.0,50,346.874589
-50.0,50,347.372392
-50.0,50,347.881749
-50.0,50,348.384857
-48.0,50,348.894379
-50.0,50,349.396904
-50.0,50,349.898531
-50.0,50,350.406723
-50.0,50,350.905048
-50.0,50,351.40984
-50.0,50,351.942456
-50.0,50,352.47118
-50.0,50,352.996524
-50.0,50,353.525323
-50.0,50,354.059059
-50.0,50,354.603272
-40.0,50,355.171785
-50.0,50,355.729958
-35.0,50,356.272108
-50.0,50,356.8078
-50.0,50,357.354353
-50.0,50,357.900464
-50.0,50,358.460067
-50.0,50,359.017376
-50.0,50,359.555346
-39.0,50,360.084445
-50.0,50,360.609927
-50.0,50,361.134402
-50.0,50,361.689365
-50.0,50,362.22032
-50.0,50,362.748787
-50.0,50,363.278891
-27.0,50,363.802254
-50.0,50,364.314834
-43.0,50,364.82182
-20.0,50,365.327556
-27.0,50,365.841809
-18.0,50,366.358822
-49.0,50,366.863517
-50.0,50,367.365493
-50.0,50,367.870448
-50.0,50,368.371684
-50.0,50,368.876923
-50.0,50,369.380029
-50.0,50,369.888165
-50.0,50,370.392513
-50.0,50,370.898981
-50.0,50,371.402066
-50.0,50,371.924438
-50.0,50,372.455474
-42.0,50,372.966892
-50.0,50,373.476243
-50.0,50,373.982332
-50.0,50,374.49258
-11.0,50,375.002887
-44.0,50,375.506562
-50.0,50,376.015012
-50.0,50,376.524269
-50.0,50,377.041732
-50.0,50,377.556521
-24.0,50,378.072482
-50.0,50,378.589533
-9.0,50,379.100619
-15.0,50,379.614541
-20.0,50,380.121698
-37.0,50,380.628067
-50.0,50,381.137104
-50.0,50,381.648201
-39.0,50,382.165958
