#{"t_start": 1775967236.1997368, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,133.769204
-39.0,50,134.289235
-50.0,50,134.802526
-50.0,50,135.316503
-50.0,50,135.832834
-50.0,50,136.351871
-50.0,50,136.859783
-49.0,50,137.375112
-50.0,50,137.882536
-50.0,50,138.383872
-50.0,50,138.885449
-50.0,50,139.384563
-50.0,50,139.875066
-36.0,50,140.366375
-50.0,50,140.885715
-50.0,50,141.401109
-50.0,50,141.924376
-40.0,50,142.43647
-40.0,50,142.974847
-15.0,50,143.489562
-37.0,50,144.008203
-50.0,50,144.543545
-29.0,50,145.059729
-22.0,50,145.575825
-50.0,50,146.08731
-43.0,50,146.599691
-50.0,50,147.123182
-50.0,50,147.635253
-50.0,50,148.158684
-50.0,50,148.680636
-34.0,50,149.192261
-50.0,50,149.709554
-50.0,50,150.228221
-41.0,50,150.755655
-31.0,50,151.266254
-24.0,50,151.775935
-40.0,50,152.288134
-29.0,50,152.794185
-50.0,50,153.304543
-50.0,50,153.811236
-15.0,50,154.316999
-50.0,50,154.835109
-50.0,50,155.356581
-27.0,50,155.853289
-50.0,50,156.353014
-50.0,50,156.847974
-35.0,50,157.352426
-50.0,50,157.860178
-42.0,50,158.376427
-37.0,50,158.889751
-45.0,50,159.379676
-29.0,50,159.876121
-24.0,50,160.367339
-39.0,50,160.860288
-8.0,50,161.374855
-2.0,50,161.885336
-43.0,50,162.400774
-2.0,50,162.917601
-28.0,50,163.437188
-44.0,50,163.950065
-47.0,50,164.466927
-30.0,50,164.985927
-22.0,50,165.503562
-3.0,50,166.024342
-50.0,50,166.529023
-5.0,50,167.040694
-23.0,50,167.543419
-50.0,50,168.046071
-2.0,50,168.540246
-39.0,50,169.03698
-2.0,50,169.558725
-39.0,50,170.084757
-17.0,50,170.597899
-5.0,50,171.089968
-50.0,50,171.580669
-50.0,50,172.075036
-4.0,50,172.566908
-3.0,50,173.059426
-49.0,50,173.565179
-8.0,50,174.071233
-27.0,50,174.571756
-4.0,50,175.07373
-50.0,50,175.608775
-3.0,50,176.137352
-14.0,50,176.652618
-7.0,50,177.162794
0.0,50,177.671107
-3.0,50,178.179301
-7.0,50,178.687293
-9.0,50,179.205279
-50.0,50,179.714492
-40.0,50,180.224
-15.0,50,180.730858
-50.0,50,181.266109
-6.0,50,181.790294
-22.0,50,182.306323
-40.0,50,182.828523
-5.0,50,183.363136
-4.0,50,183.877111
-49.0,50,184.396165
-41.0,50,184.910707
